Org Name,The Bucket Ministry Solimoes Tourism Park,Unnamed: 2,Unnamed: 3,Unnamed: 4
Village,Zone,Tribe,Language,NS Materials
Parque solimoes turismo - 1,,Apurinã,Portuguese,Printed Bible
Parque solimoes turismo - 2,,Arapasso,Spanish,Mega Voice
Parque das nações indigenas,,Arara,Criolo,Other Audio Bible
,,Baniwa,English,
,,Baré,,
,,Bolivian,,
,,Carapãno,,
,,Dessano,,
,,Guanavena,,
,,Haitian,,
,,Jupari Tapuia,,
,,Kaixana,,
,,Kambeba,,
,,Kokama,,
,,Kripaco,,
,,Kulina,,
,,Kuripako,,
,,Marobu,,
,,Miranha,,
,,Miriti Tapuia,,
,,Mundurucu,,
,,Mura,,
,,Nhegatu,,
,,Piratapuia,,
,,Piratapuia,,
,,Sateré-Mawé,,
,,Siusi Tapuia,,
,,Tenharim,,
,,Ticuna,,
,,Tucano,,
,,Tupinambá,,
,,Tuyuca,,
,,Venezuelan,,
,,Warao,,
,,Witoto,,
