Org Name,The Bucket Ministry Ghana,Unnamed: 2,Unnamed: 3,Unnamed: 4
Village,Zone,Tribe,Language,NS Materials
,,Akyem,English,Printed Bible
,,Asantes,Akyem,Mega Voice
,,Bassari,Bono,Other Audio Bible
,,Bono,Chamba,
,,Builsa,Chekosi,
,,Chamba,Chumburu,
,,Chekosis,Dagaare,
,,Chumburu,Dagbani,
,,Dagaati,Ewe,
,,Dagomba,Fante,
,,Ewe,Frafra,
,,Fantes,Ga/Adangbe,
,,Frafra,Gonja,
,,Gas,Grune,
,,Gonja,Kanjaga,
,,Grune,Konkomba,
,,Konkomba,Kotokoli,
,,Kotokoli,Krobo,
,,Krobo,Mamprusi,
,,Mamprusi,Nanuni,
,,Nanumba,Nchumburu,
,,Nchumuru,Nzema,
,,Nzema,Oniyan,
,,Sisaala,Sisaali,
,,Talensi,Talni,
,,Waala,Twi,
,,Wala,Waali,
,,,Wali,
