Org Name,The Bucket Ministry Jenta,Unnamed: 2,Unnamed: 3,Unnamed: 4
Village,Zone,Tribe,Language,NS Materials
Jenta Ande,,Amo,English,Printed Bible
Jenta Makeri,,Anaguta,Swahili,Mega Voice
Jenta Mangoro A,,Bajju,Other,Other Audio Bible
Jenta Mangoro B,,Berom,Afenmai,
Jenta Mangoro C,,Buji,Ake-Levbu,
Jenta Sakiya,,Chawai,Akoko,
Jenta Summit,,Eggon,Akwai,
West of mines,,Here,Amo,
,,Idoma,Anaguta,
,,Igala,Ankwe,
,,Igbo,Annang,
,,Irigwe,Bagim,
,,Jarawa,Bajju,
,,Kulere,Berom,
,,Lemoro,Buji,
,,Minchika,Bwai,
,,Mupun,Calabar,
,,Mwaghavul ,Chawai,
,,Ngas,Demark,
,,Oron,Doemak,
,,Pyem ,Edo,
,,Ron ,Efik,
,,Rukuba (Bache),Eggon,
,,Tarok,Emai,
,,Tiv,Esan,
,,Tula,Etsako,
,,Urhobo,Etuno,
,,Yoruba,Fulfude (Fulani),
,,Youm,Goemai,
,,,Hausa,
,,,Here,
,,,Ibibio,
,,,Idoma,
,,,Igala,
,,,Igbanke,
,,,Igbo,
,,,Ijaw,
,,,Imua,
,,,Irigwe,
,,,Isoko,
,,,Itsekiri,
,,,Jarawa,
,,,Jukun,
,,,Kofia,
,,,Koro,
,,,Kulere,
,,,Kwal,
,,,Lemoro,
,,,Mada,
,,,Magogo,
,,,Mernian,
,,,Minchika,
,,,Mupun,
,,,Mushere,
,,,Mwaghavul ,
,,,Ngas,
,,,Ntu-Mbusor,
,,,Ogoja,
,,,Okpameri,
,,,Okpe,
,,,Oron,
,,,Oron,
,,,Pyem ,
,,,Quan,
,,,Rindere,
,,,Ron ,
,,,Rukuba (Bache),
,,,Stiwa,
,,,Tarok,
,,,Tiv,
,,,Tula,
,,,Urhobo,
,,,Wamba,
,,,Yoruba,
,,,Youm,
