Org Name,The Bucket Ministry Besigan,Unnamed: 2,Unnamed: 3,Unnamed: 4
Village,Zone,Tribe,Language,NS Materials
Besigan - Centro - 1,,Higaonon,Higaonon,Printed Bible
Besigan - Centro - 2,,Muslim,Bisaya,Mega Voice
Besigan - Centro - 3,,Ilonggo,llonggo,Other Audio Bible
Besigan - Centro - 4,,Bisaya,Tagalog,
Besigan - Mahabwa,,,,
Besigan - Kibanog,,,,
Besigan - Sitio KM17,,,,
Besigan - Sitio KM16,,,,
Besigan - Sitio KM18,,,,
Besigan - Sitio Kadayonan,,,,
Besigan - Sitio KM11,,,,
Besigan - Sitio Kamang,,,,
