Org Name,The Bucket Ministry Sierra Leone,Unnamed: 2,Unnamed: 3,Unnamed: 4
Village,Zone,Tribe,Language,NS Materials
Newton - Six Mile,,Krio,Krio,Printed Bible
Newton - Five Mile,,Themne,Themne,Mega Voice
Newton - Mabanamaton,,Mende,Mende,Other Audio Bible
Newton - Crossing,,Fullah,Fullah,
Newton - Makoko,,,,
Grafton - PVA/Joshua,,,,
Grafton - Forut,,,,
Grafton - Cyprus,,,,
Grafton - Town,,,,
Grafton - New camp,,,,
Grafton - Barracks,,,,
Grafton - Old camp,,,,
Grafton - SOJA town,,,,
Grafton - CRS,,,,
Grafton - Scout camp area,,,,
