Language,Content Name,Content Type,Encoded
Acholi,Bible,Bible,x
Acholi,Jesus Film,Jesus Film,x
Acholi,Growing in Christ,Jesus Film,x
Acholi,Fellowship of Believers,Jesus Film,x
Acholi,Walking in the Sprit,Jesus Film,x
Acholi,Assurance of Salvation,Jesus Film,x
Acholi,The Holy Spirit,Jesus Film,x
Adele,Bible,Bible,x
Adele,Jesus Film,Jesus Film,x
Akan-Akuapem-Twi,Bible,Bible,x
Akan-Akuapem-Twi,Jesus Film,Jesus Film,x
Akan-Akuapem-Twi,Legion,Jesus Film,x
Akan-Akuapem-Twi,My Last Day,Jesus Film,x
Akan-Akuapem-Twi,Growing in Christ,Jesus Film,x
Akan-Akuapem-Twi,Fellowship of Believers,Jesus Film,x
Akan-Akuapem-Twi,Walking in the Sprit,Jesus Film,x
Akan-Akuapem-Twi,Assurance of Salvation,Jesus Film,x
Akan-Akuapem-Twi,The Holy Spirit,Jesus Film,x
Akan-Akuapem-Twi,"Jesus, Our Loving Pursuer",Jesus Film,x
Akan-Akuapem-Twi,"Jesus, Our Gracious forgiver",Jesus Film,x
Akan-Akuapem-Twi,"Jesus, Our Power for Living",Jesus Film,x
Akan-Akuapem-Twi,"Jesus, Our powerful Deliverer",Jesus Film,x
Akan-Akuapem-Twi,"Jesus, Our compassionate Provider",Jesus Film,x
Akan-Akuapem-Twi,"Jesus, Our Complete Restorer",Jesus Film,x
Akan-Akuapem-Twi,"Jesus, Our Living Water",Jesus Film,x
Akan-Asante,Bible,Bible,x
Akan-Asante,Jesus Film,Jesus Film,x
Akan-Asante,The Story of jesus for Children,Jesus Film,x
Akan-Asante,My Last Day,Jesus Film,x
Akan-Asante,Growing in Christ,Jesus Film,x
Akan-Asante,Fellowship of Believers,Jesus Film,x
Akan-Asante,Walking in the Sprit,Jesus Film,x
Akan-Asante,Assurance of Salvation,Jesus Film,x
Akan-Asante,The Holy Spirit,Jesus Film,x
Akan-Asante,"Jesus, Our Loving Pursuer",Jesus Film,x
Akan-Asante,"Jesus, Our Gracious forgiver",Jesus Film,x
Akan-Asante,"Jesus, Our Power for Living",Jesus Film,x
Akan-Asante,"Jesus, Our powerful Deliverer",Jesus Film,x
Akan-Asante,"Jesus, Our compassionate Provider",Jesus Film,x
Akan-Asante,"Jesus, Our Complete Restorer",Jesus Film,x
Akan-Asante,"Jesus, Our Living Water",Jesus Film,x
Akan-Asante,StoryClubs-Birth of Jesus,Jesus Film,x
Akan-Asante,StoryClubs-Sinful Woman Forgiven,Jesus Film,x
Akan-Asante,StoryClubs-The Last Supper,Jesus Film,x
Akan-Asante,StoryClubs-Jairus Daugher,Jesus Film,x
Akan-Asante,StoryClubs-Jesus and Zacchaeus,Jesus Film,x
Akan-Asante,StoryClubs-Jesus Calms the Storm,Jesus Film,x
Akan-Asante,StoryClubs-Miraculous Catch of Fish,Jesus Film,x
Akan-Asante,StoryClubs-The Tomb is Empty,Jesus Film,x
Akan-Asante,StoryClubs-Jesus Feeds 5000,Jesus Film,x
Akan-Asante,StoryClubs-Childhood of Jesus,Jesus Film,x
Akan-Asante,StoryClubs-Jesus is Crucified,Jesus Film,x
Akan-Asante,StoryClubs-A widows Offering,Jesus Film,x
Akan-Asante,StoryClubs-Healing Bartimaeus,Jesus Film,x
Akan-Fante,Bible,Bible,x
Akan-Fante,Jesus Film,Jesus Film,x
Alur,Bible,Bible,x
Alur,Jesus Film,Jesus Film,x
Anufo,Bible,Bible,x
Anufo,Jesus Film,Jesus Film,x
Anufo,Growing in Christ,Jesus Film,x
Anufo,Fellowship of Believers,Jesus Film,x
Anufo,Walking in the Sprit,Jesus Film,x
Anufo,Assurance of Salvation,Jesus Film,x
Anufo,The Holy Spirit,Jesus Film,x
Apalai,Bible (PDF),Bible,x
Apinaye,Bible (PDF),Bible,x
Apurina,Bible (PDF),Bible,x
Ateso,Bible,Bible,x
Ateso,Jesus Film,Jesus Film,x
Bakairi,Bible (PDF),Bible,x
Bekwarra,Bible,Bible,x
Berom,Bible,Bible,x
Bete-Bendi,Bible,Bible,x
Bimoba,Bible,Bible,x
Bimoba,Jesus Film,Jesus Film,x
Birifor-Southern,Bible,Bible,x
Birifor-Southern,Jesus Film,Jesus Film,x
Bisa,Bible,Bible,x
Bokobaru-Sim,Bible,Bible,x
Borana,Bible,Bible,x
Borana,Jesus Film,Jesus Film,x
Bororo,Bible (PDF),Bible,x
Buli,Bible,Bible,x
Buli,Jesus Film,Jesus Film,x
Bura,Bible,Bible,x
Busa-Bisa,Bible,Bible,x
Canela,Bible,Bible,x
Canela,Bible,Bible,x
Canela,Jesus Film,Jesus Film,x
Canela,Parable of Good Samaritan,Jesus Film,x
Canela,Invitation to Know Jesus Personally,Jesus Film,x
Chumburung,Bible,Bible,x
Chumburung,Jesus Film,Jesus Film,x
Culina,Bible (PDF),Bible,x
Daasanach,Bible,Bible,x
Daasanach,Jesus Film,Jesus Film,x
Dagaare,Bible,Bible,x
Dagaare,Jesus Film,Jesus Film,x
Dagbani,Bible,Bible,x
Dagbani,Jesus Film,Jesus Film,x
Dagbani,Growing in Christ,Jesus Film,x
Dagbani,Fellowship of Believers,Jesus Film,x
Dagbani,Walking in the Sprit,Jesus Film,x
Dagbani,Assurance of Salvation,Jesus Film,x
Dagbani,The Holy Spirit,Jesus Film,x
Dhopadhola,Bible,Bible,x
